code,name,college
BAEN,Bachelor of Arts in English,CASS
BSPY,Bachelor of Science in Psychology,CASS
BAFIL,Bachelor of Arts in Filipino,CASS
BAHIS,Bachelor of Arts in History,CASS
BAPOL,Bachelor of Arts in Political Science,CASS
BSCE,Bachelor of Science in Civil Engineering,COE
BSCER,Bachelor of Science in Ceramics Engineering,COE
BSCHEM,Bachelor of Science in Chemical Engineering,COE
BSCPE,Bachelor of Science in Computer Engineering,COE
BSECE,Bachelor of Science in Electronics and Communications Engineering,COE
BSEE,Bachelor of Science in Electrical Engineering,COE
BSMINE,Bachelor of Science in Mining Engineering,COE
BSENVT,Bachelor of Science in Environmental Engineering Technology,COE
BSME,Bachelor of Science in Mechanical Engineering,COE
BSMET,Bachelor of Science in Metallurgical Engineering,COE
BSBIO,Bachelor of Science in Biology General,CSM
BSBIOB,Bachelor of Science in Biology Botany,CSM
BSBIOZ,Bachelor of Science in Biology Zoology,CSM
BSBIOM,Bachelor of Science in Biology Marine,CSM
BSCHEM2,Bachelor of Science in Chemistry,CSM
BSMATH,Bachelor of Science in Mathematics,CSM
BSPHY,Bachelor of Science in Physics,CSM
BSSTAT,Bachelor of Science in Statistics,CSM
BSED,Bachelor of Secondary Education,CED
BEED,Bachelor of Elementary Education,CED
BSBA,Bachelor of Science in Business Administration,CEBA
BSHRM,Bachelor of Science in Hotel and Restaurant Management,CEBA
BSA,Bachelor of Science in Accountancy,CEBA
BSIS,Bachelor of Science in Information Systems,CCS
BSIT,Bachelor of Science in Information Technology,CCS
BSCS,Bachelor of Science in Computer Science,CCS
BSN,Bachelor of Science in Nursing,CHS
